Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
F9,8,-8997.956055,36125.75
F10,8,,
F11,8,,
F12,8,,
G1,8,-9679.017578,33497.73047
G2,8,,
G3,8,-9509.873047,34011.04688
G4,8,,
G5,8,-8721.875,36173.60938
G6,8,,
G7,8,-9455.75,33199.19922
G8,8,,
G9,8,-6514.288086,44388.10547
G10,8,,
G11,8,,
G12,8,,
H1,8,-11478.41992,31384.69141
H2,8,,
H3,8,-9192.978516,35212.70703
H4,8,,
H5,8,-10137.73438,33469.46484
H6,8,,
H7,8,-9187.182617,35346.07813
H8,8,,
H9,8,-10544.67871,-2048.435059
H10,8,,
H11,8,,
H12,8,,
A1,9,54157.86328,32206.27734
A2,9,,
A3,9,87829.84375,39525.32422
A4,9,,
A5,9,70878.10156,33426.14453
A6,9,,
A7,9,77153.57813,35994.66406
A8,9,,
A9,9,81322.78125,39488.15234
A10,9,,
A11,9,,
A12,9,,
B1,9,3081.501953,31085.24414
B2,9,,
B3,9,2851.562988,38664.94141
B4,9,,
B5,9,2514.233154,33582.19531
B6,9,,
B7,9,680.3809204,32142.50586
B8,9,,
B9,9,4480.523926,35126.46094
B10,9,,
B11,9,,
B12,9,,
C1,9,-5114.391602,40617.74219
C2,9,,
C3,9,-7643.670898,38086.61719
C4,9,,
C5,9,-10403.36621,32072.20898
C6,9,,
C7,9,-6792.408691,36448.01953
C8,9,,
C9,9,-5170.593262,35385.14844
C10,9,,
C11,9,,
C12,9,,
D1,9,-7906.233398,34652.70703
D2,9,,
D3,9,-9360.548828,34124.83984
D4,9,,
D5,9,-9175.979492,32289.26563
D6,9,,
D7,9,-7139.458984,35084.96875
D8,9,,
D9,9,-5643.915039,41774.80078
D10,9,,
D11,9,,
D12,9,,
E1,9,-7811.190918,35930.73047
E2,9,,
E3,9,-7047.465332,37831.22656
E4,9,,
E5,9,-6623.422852,38172.95313
E6,9,,
E7,9,-7344.370605,36384.71484
E8,9,,
E9,9,-5964.139648,37830.41406
E10,9,,
E11,9,,
E12,9,,
F1,9,-7659.166504,38712.20703
F2,9,,
F3,9,-7899.001953,36023.50781
F4,9,,
F5,9,-2718.497803,36890.08203
F6,9,,
F7,9,-7778.85498,37227.98438
F8,9,,
F9,9,-6678.666016,38207.17188
F10,9,,
F11,9,,
F12,9,,
G1,9,-6401.084961,35952.94531
G2,9,,
G3,9,-6623.075195,36455.5
G4,9,,
G5,9,-6948.570313,37904.0625
G6,9,,
G7,9,-8013.549805,35047.98438
G8,9,,
G9,9,-3932.416504,46693.44141
G10,9,,
G11,9,,
G12,9,,
H1,9,-8626.089844,32521.93555
H2,9,,
H3,9,-6063.536621,37426.26953
H4,9,,
H5,9,-9076.868164,35248.66797
H6,9,,
H7,9,-8047.365234,36852.80469
H8,9,,
H9,9,-10566.66406,-2037.286255
H10,9,,
H11,9,,
H12,9,,
A1,10,-8216.212891,30894.19336
A2,10,,
A3,10,-8552.896484,39133.75781
A4,10,,
A5,10,-9065.347656,33764.60156
A6,10,,
A7,10,-9284.866211,35365.94531
A8,10,,
A9,10,-8453.306641,39669.39844
A10,10,,
A11,10,,
A12,10,,
B1,10,-10795.69336,28770.31445
B2,10,,
B3,10,-14698.46875,38082.6875
B4,10,,
B5,10,-12993.10352,32960.45313
B6,10,,
B7,10,-14829.4375,31251.67383
B8,10,,
B9,10,-11480.13477,34561.91406
B10,10,,
B11,10,,
B12,10,,
C1,10,-14022.49512,39275.375
C2,10,,
C3,10,-16019.32422,36752.82031
C4,10,,
C5,10,-17858.72266,31782.58203
C6,10,,
C7,10,-15018.83789,23152.29492
C8,10,,
C9,10,-12973.47363,34428.8125
C10,10,,
C11,10,,
C12,10,,
D1,10,-14772.43555,32239.58984
D2,10,,
D3,10,-16350.72266,33018.94531
D4,10,,
D5,10,-15816.27734,30581.53906
D6,10,,
D7,10,-14124.82422,23803.92383
D8,10,,
D9,10,-13970.05859,36485.92578
D10,10,,
D11,10,,
D12,10,,
E1,10,-14800.31738,33943.31641
E2,10,,
E3,10,-14697.11719,35604.625
E4,10,,
E5,10,-14133.23145,36776.52344
E6,10,,
E7,10,-14453.1543,35690.88672
E8,10,,
E9,10,-13703.25,30936.01172
E10,10,,
E11,10,,
E12,10,,
F1,10,-15172.76074,36529.16406
F2,10,,
F3,10,-14269.42578,36296.45703
F4,10,,
F5,10,-11834.32813,35356.34375
F6,10,,
F7,10,-15042.75293,36053.26953
F8,10,,
F9,10,-14037.68945,37957.49219
F10,10,,
F11,10,,
F12,10,,
G1,10,-13164.5293,33462.28125
G2,10,,
G3,10,-14215.0459,35930.31641
G4,10,,
G5,10,-14397.55762,37301.73438
G6,10,,
G7,10,-14936.5918,34222.32031
G8,10,,
G9,10,-13418.28223,45505.30859
G10,10,,
G11,10,,
G12,10,,
H1,10,-14768.21875,30414.13477
H2,10,,
H3,10,-14886.25293,35909.51172
H4,10,,
H5,10,-13124.25684,34175.46875
H6,10,,
H7,10,-15185.12891,34631.32813
H8,10,,
H9,10,-11135.66113,-2093.916504
H10,10,,
H11,10,,
H12,10,,
A1,11,32355.86133,31841.73633
A2,11,,
A3,11,54080.32031,38365.41406
A4,11,,
A5,11,48654.69531,32348.48438
A6,11,,
A7,11,54753.64453,34789.17578
A8,11,,
A9,11,55542.79688,38726.38281
A10,11,,
A11,11,,
A12,11,,
B1,11,-1947.200317,30151.86719
B2,11,,
B3,11,-3900.94043,35950.67188
B4,11,,
B5,11,-1063.721191,32186.08594
B6,11,,
B7,11,-1915.348877,31395.73242
B8,11,,
B9,11,444.2941284,33290.90625
B10,11,,
B11,11,,
B12,11,,
C1,11,-8704.758789,38816.6875
C2,11,,
C3,11,-10954.66602,35725.59766
C4,11,,
C5,11,-11809.93652,30512.74023
C6,11,,
C7,11,-7767.941406,34902.84766
C8,11,,
C9,11,-6947.405273,34287.07422
C10,11,,
C11,11,,
C12,11,,
D1,11,-10701.0752,33518.88672
D2,11,,
D3,11,-10945.8916,32539.20313
D4,11,,
D5,11,-10289.53906,30837.55078
D6,11,,
D7,11,-7947.680176,33299.04688
D8,11,,
D9,11,-6753.512207,40187.33594
D10,11,,
D11,11,,
